"title";"rating";"year";"users_rating";"votes";"metascore";"img_url";"countries";"languages";"actors";"genre";"tagline";"description";"directors";"runtime";"imdb_url"
"The Avengers";"PG-13";2012.0;10.0;1233746;"69.0";"https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL__QL50.jpg";"['USA']";"['English', 'Russian', 'Hindi']";"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Tom Hiddleston', 'Clark Gregg', 'Cobie Smulders', 'Stellan Skarsgård', 'Samuel L. Jackson', 'Gwyneth Paltrow', 'Paul Bettany', 'Alexis Denisof', 'Tina Benko']";"['Action', 'Adventure', 'Sci-Fi']";"Avengers Assemble!";"Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.";"['Joss Whedon']";"143 min";"https://www.imdb.com/title/tt0848228/"
"Good Will Hunting";"R";1997.0;8.3;826970;"70.0";"https://m.media-amazon.com/images/M/MV5BOTI0MzcxMTYtZDVkMy00NjY1LTgyMTYtZmUxN2M3NmQ2NWJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg";"['USA']";"['English']";"['Matt Damon', 'Ben Affleck', 'Stellan Skarsgård', 'John Mighton', 'Rachel Majorowski', 'Colleen McCauley', 'Casey Affleck', 'Cole Hauser', 'Matt Mercier', 'Ralph St. George', 'Rob Lynds', 'Dan Washington', 'Alison Folland', 'Derrick Bridgeman', 'Vik Sahay']";"['Drama', 'Romance']";"Wildly charismatic. Impossibly brilliant. Totally rebellious. For the first 20 years of his life, Will Hunting has called the shots. Now he's about to meet his match.";"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.";"['Gus Van Sant']";"126 min";"https://www.imdb.com/title/tt0119217/"
"2001: A Space Odyssey";"G";1968.0;8.3;580491;"84.0";"https://m.media-amazon.com/images/M/MV5BMmNlYzRiNDctZWNhMi00MzI4LThkZTctMTUzMmZkMmFmNThmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg";"['UK', 'USA']";"['English', 'Russian']";"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Daniel Richter', 'Leonard Rossiter', 'Margaret Tyzack', 'Robert Beatty', 'Sean Sullivan', 'Douglas Rain', 'Frank Miller', 'Bill Weston', 'Ed Bishop', 'Glenn Beck', 'Alan Gifford', 'Ann Gillis']";"['Adventure', 'Sci-Fi']";"50 Years Ago One Movie Changed All Movies Forever [2018 Re-release]";"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.";"['Stanley Kubrick']";"149 min";"https://www.imdb.com/title/tt0062622/"
"Scarface";"R";1983.0;8.3;712283;"65.0";"https://m.media-amazon.com/images/M/MV5BNjdjNGQ4NDEtNTEwYS00MTgxLTliYzQtYzE2ZDRiZjFhZmNlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg";"['USA']";"['English', 'Spanish']";"['Al Pacino', 'Steven Bauer', 'Michelle Pfeiffer', 'Mary Elizabeth Mastrantonio', 'Robert Loggia', 'Miriam Colon', 'F. Murray Abraham', 'Paul Shenar', 'Harris Yulin', 'Ángel Salazar', 'Arnaldo Santana', 'Pepe Serna', 'Michael P. Moran', 'Al Israel', 'Dennis Holahan']";"['Crime', 'Drama']";"The world is yours...";"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.";"['Brian De Palma']";"170 min";"https://www.imdb.com/title/tt0086250/"
"Gran Torino";"R";2008.0;8.1;701410;"72.0";"https://m.media-amazon.com/images/M/MV5BMTc5NTk2OTU1Nl5BMl5BanBnXkFtZTcwMDc3NjAwMg@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg";"['Germany', 'USA']";"['English', 'Hmong']";"['Clint Eastwood', 'Christopher Carley', 'Bee Vang', 'Ahney Her', 'Brian Haley', 'Geraldine Hughes', 'Dreama Walker', 'Brian Howe', 'John Carroll Lynch', 'William Hill', 'Brooke Chia Thao', 'Chee Thao', 'Choua Kue', 'Scott Eastwood', 'Xia Soua Chang']";"['Drama']";"";"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.";"['Clint Eastwood']";"116 min";"https://www.imdb.com/title/tt1205489/"
"Three Billboards Outside Ebbing Missouri";"R";2017.0;8.2;401685;"88.0";"https://m.media-amazon.com/images/M/MV5BMjI0ODcxNzM1N15BMl5BanBnXkFtZTgwMzIwMTEwNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg";"['UK', 'USA']";"['English']";"['Frances McDormand', 'Caleb Landry Jones', 'Kerry Condon', 'Sam Rockwell', 'Alejandro Barrios', 'Jason Ledford', 'Darrell Britt-Gibson', 'Woody Harrelson', 'Abbie Cornish', 'Riya May Atwood', 'Selah Atwood', 'Lucas Hedges', 'Zeljko Ivanek', 'Amanda Warren', 'Malaya Rivera Drew']";"['Comedy', 'Crime', 'Drama']";"";"A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.";"['Martin McDonagh']";"115 min";"https://www.imdb.com/title/tt5027774/"
"A Beautiful Mind";"PG-13";2001.0;8.2;819184;"72.0";"https://m.media-amazon.com/images/M/MV5BMzcwYWFkYzktZjAzNC00OGY1LWI4YTgtNzc5MzVjMDVmNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg";"['USA']";"['English']";"['Russell Crowe', 'Ed Harris', 'Jennifer Connelly', 'Christopher Plummer', 'Paul Bettany', 'Adam Goldberg', 'Josh Lucas', 'Anthony Rapp', 'Jason Gray-Stanford', 'Judd Hirsch', 'Austin Pendleton', 'Vivien Cardone', 'Jillie Simon', 'Victor Steinbach', 'Tanya Clarke']";"['Biography', 'Drama']";"I need to believe that something extra ordinary is possible...";"After";"['Ron Howard']";"135 min";"https://www.imdb.com/title/tt0268978/"
"Fargo";"R";1996.0;8.1;594745;"85.0";"https://m.media-amazon.com/images/M/MV5BNDJiZDgyZjctYmRjMS00ZjdkLTkwMTEtNGU1NDg3NDQ0Yzk1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg";"['USA', 'UK']";"['English']";"['William H. Macy', 'Steve Buscemi', 'Peter Stormare', 'Kristin Rudrüd', 'Harve Presnell', 'Tony Denman', 'Gary Houston', 'Sally Wingert', 'Kurt Schweickhardt', 'Larissa Kokernot', 'Melissa Peterman', 'Steve Reevis', 'Warren Keith', 'Steve Edelman', 'Sharon Anderson']";"['Crime', 'Drama', 'Thriller']";"An ordinary place, an extraordinary thriller";"Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.";"['Joel Coen', 'Ethan Coen']";"98 min";"https://www.imdb.com/title/tt0116282/"
"Vertigo";"PG";1958.0;8.3;346708;"100.0";"https://m.media-amazon.com/images/M/MV5BYTE4ODEwZDUtNDFjOC00NjAxLWEzYTQtYTI1NGVmZmFlNjdiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg";"['USA']";"['English']";"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes', 'Tom Helmore', 'Henry Jones', 'Raymond Bailey', 'Ellen Corby', 'Konstantin Shayne', 'Lee Patrick']";"['Mystery', 'Romance', 'Thriller']";"A tall story about a pushover [Video]";"A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.";"['Alfred Hitchcock']";"128 min";"https://www.imdb.com/title/tt0052357/"
"Blade Runner";"R";1982.0;8.1;670715;"84.0";"https://m.media-amazon.com/images/M/MV5BNzQzMzJhZTEtOWM4NS00MTdhLTg0YjgtMjM4MDRkZjUwZDBlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg";"['USA']";"['English', 'German', 'Cantonese', 'Japanese', 'Hungarian', 'Arabic']";"['Harrison Ford', 'Rutger Hauer', 'Sean Young', 'Edward James Olmos', 'M. Emmet Walsh', 'Daryl Hannah', 'William Sanderson', 'Brion James', 'Joe Turkel', 'Joanna Cassidy', 'James Hong', 'Morgan Paull', 'Kevin Thompson', 'John Edward Allen', 'Hy Pyke']";"['Action', 'Sci-Fi', 'Thriller']";"The star of ""RAIDERS OF THE LOST ARK"""" and the director of """"ALIEN"""" take you on a spectacular journey to the savage world of the year 2019!!""";"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.";"['Ridley Scott']";"117 min";"https://www.imdb.com/title/tt0083658/"
